image_name,ocr_text
00883967402229110e85131154f4b84f.jpg,STARR PAN SHOP ALL TYPES OF PAN & COOL DRINKS
71G1lmUIXBL.jpg,GcaGcla ICE COLD
download.jpg,RAJDHANI PAN choice ISpnte
il_300x300.6942780298_34iv.webp,EcG Cca Gola
jamshedpur-jharkhand-india-14-may-260nw-1736031230.webp,CccaGcla NETWAY sureihg PAINodNKLROI Colour PRINI Vodee Fllngo Cad ( Cog Gdla 8 NETWAYCOM shutterstockcom 1736031230
kiosk-cochin-kerala-india-RFK4G8.jpg,"@ccabola BAp RO4D ENTE UPPANTE KADA Aiann alamy EUOu2D Dmej 230 Jolnc"" CAole LZE 46 e 'GLANCE IDE JEanv alamy Image ID: RFK4G8 alamy WWW. alamy com aun"
kiosk-cochin-kerala-india-RFK4HD.jpg,Cccocla dav MUHANMMED ALI STORES KOB = 48627370 alamy a alamu alamg alall Image ID: RFK4HD alamy WWW: alamy com
mathura-uttar-pradesh-india-july-260nw-2015125877.webp,6ool  hocdino} 574non GcGch GcaGdla shutterstock com 2015125877
"Tin Banner at Best Price in New Delhi, Delhi _ Rainbow Printers (p) Ltd_.png",2 GceGola
